,id,transcription,gloss,translation,start,end,comment,author,binom,notbinom,*binom,*notbinom,com_type,companion,ins-participant
369,RGD_20220811@TK_3,ɣəm-nan n-ine-ɣisi-jɣəm ɣa-saket-ta wətwət-te,я-ins st-inv-собирать-np.1sg com-сестра-ins лист-pl,Я собираю с сестрой листочки.,00:18:56.625,00:19:00.895,"По RGD здесь и в других местах можно ɣa-saketə-ma. Но RGD говорит, что ɣa-saket-ta будет выразительнее. Я: как это? RGD: c ɣa-saketə-ma не совсем складно получается.",RGD,,,,,ɣəm-nan n-ine-ɣisi-jɣəm ɣa-saket-ta wətwət-te,сестра,я
370,RGD_20220811@TK_4,qɬawəɬ-a terə-ɬʔə-n ∅-təm-ne-n qeper-∅,мужчина-ins царапина-attr-nom.sg 2/3.s/a-убить-3sg.a.3.o-3sg.o россомаха-nom.sg,Мужчина со шрамом убил россомаху.,00:20:13.460,00:20:16.815,"terə-ɬʔə-n n? Я: можно qɬawОн: да. Я: можно qɬawəɬ ɣa-tar-ma? Он: да. Я: повторите? Он: не, ɣa-tar-ma - не пойдёт. terə-ɬʔ-a.",RGD,,,,,qɬawəɬ-a terə-ɬʔə-n ∅-təm-ne-n qeper-∅,царапина,мужчина
371,RGD_20220811@TK_5,təŋasʔə-mkə-n am-aɬw-a wa-ɬʔə-n,цветок-coll-nom.sg restr-другой-ins быть-attr-nom.sg,Разные цветы.,00:21:56.537,00:22:00.060,,RGD,,,,,təŋasʔə-mkə-n am-aɬw-a wa-ɬʔə-n,быть,restr-другой
372,RGD_20220811@TK_6,reŋ-ʔatw-wakʔo-nwə-k n-en-atsʔa-qen qɬawəɬ-a ŋewəsqet-∅,взлетать-лодка-садиться-nmn-loc st-inv-ждать-st.3sg мужчина-ins девушка-nom.sg,В аэропорту мужчина ждёт девушку.,00:22:10.938,00:22:18.598,,RGD,,,,,reŋ-ʔatw-wakʔo-nwə-k n-en-atsʔa-qen qɬawəɬ-a ŋewəsqet-∅,,мужчина
373,RGD_20220811@TK_7,ʔaasek-a n-en-atsʔa-qen,парень-ins st-inv-ждать-st.3sg,Парень ждёт.,00:23:27.268,00:23:30.008,,RGD,,,,,ʔaasek-a n-en-atsʔa-qen,,парень
374,RGD_20220811@TK_8,ɣa-təŋasʔə-ma ʔaasek-∅ ŋawəsqatə-etə n-atsʔa-qen,com-цветок-sim парень-nom.sg девушка-dat st-ждать-st.3sg,Парень с букетом ждал девушку.,00:23:47.188,00:23:54.090,Это я ʔaasek-∅ попросила. А он в непереходный переделал.,RGD,,,,,ɣa-təŋasʔə-ma ʔaasek-∅ ŋawəsqatə-etə n-atsʔa-qen,цветок,
375,RGD_20220811@TK_9,koropka-ta ∅-tʔajətsa-ne-n imti-tejusɣə-n,коробка-ins 2/3.s/a-рвать-3sg.a.3.o-3sg.o ноша-мешок-nom.sg,Коробка порвала рюкзак.,00:24:31.309,00:24:44.520,,RGD,,,,,koropka-ta ∅-tʔajətsa-ne-n imti-tejusɣə-n,,коробка
376,RGD_20220811@TK_10,senəɬ kante-josɣə-n ∅-tʔajətsa-ne-n tejusɣə-n,ящик конфеты-cont-nom.sg 2/3.s/a-рвать-3sg.a.3.o-3sg.o мешок-nom.sg,Ящик с конфетами порвал мешок.,00:25:13.640,00:25:20.824,"#бином Не верить. ""Это бред"", - ИА.",RGD,True,,,,senəɬ kante-josɣə-n ∅-tʔajətsa-ne-n tejusɣə-n,,
377,RGD_20220811@TK_11,senɬə-te ɣa-kante-ma ∅-tʔajətsa-ne-n imti-tejusɣə-n,ящик-ins com-конфеты-sim 2/3.s/a-рвать-3sg.a.3.o-3sg.o мешок-nom.sg,Ящик с конфетами порвал рюкзак.,00:25:38.202,00:25:44.602,Выбрал между senəɬ и senɬə-te.,RGD,,,,,senɬə-te ɣa-kante-ma ∅-tʔajətsa-ne-n imti-tejusɣə-n,конфеты,ящик
378,RGD_20220811@TK_12,ɣəm tə-ɣəntek-wʔa-k nəran-eɣ-epə,я 1sg.s/a-убегать-th-1sg.s четыре-волк-abl,Я убежала от четырёх волков.,00:26:02.792,00:26:09.892,"Но нельзя убегать, надо наступать и пугать. Всё равно не убежишь.",RGD,,,,,ɣəm tə-ɣəntek-wʔa-k nəran-eɣ-epə,,
